example_id|uid|norm_type|norm_number|act|article|art_punkt|date|occurrence_count|total_files|models
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГК РФ|779|||3|4|gpt;grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|Закон РФ|31||07.02.1992|3|4|gemini;grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|Закон РФ|13||07.02.1992|3|4|gemini;grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГК РФ|782|||3|4|gemini;gpt;grok
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГК РФ|309|||2|4|grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГК РФ|310|||2|4|grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГК РФ|781|||2|4|grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|Закон РФ|29||07.02.1992|2|4|grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГПК РФ|131|||2|4|grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГПК РФ|132|||2|4|grok;qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГК РФ|395|||2|4|gpt;grok
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГК РФ|15|||1|4|qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|Закон РФ|15||07.02.1992|1|4|qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|Закон РФ|17||07.02.1992|1|4|qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГПК РФ|28|||1|4|qwen
1050|88d655cf-8842-4680-8bbb-127285b2b329|общий||ГК РФ|394|||1|4|gpt
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|ФЗ|10||07.02.1992|1|4|gpt
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|ФЗ|13||07.02.1992|1|4|gpt
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|Закон РФ|32||07.02.1992|1|4|gemini
1050|88d655cf-8842-4680-8bbb-127285b2b329|специальный|2300-1|Закон РФ|28||07.02.1992|1|4|gemini
