example_id|uid|norm_type|norm_number|act|article|art_punkt|date|occurrence_count|total_files|models
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|специальный||ГК РФ|123.12|||3|4|claude;gpt;grok
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|специальный|217-ФЗ|ФЗ|5||29.07.2017|3|4|claude;gemini;gpt
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|специальный|217-ФЗ|ФЗ|14||29.07.2017|2|4|claude;gpt
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|общий||ГК РФ|421|||2|4|claude;gpt
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|специальный||ГК РФ|249|||2|4|claude;grok
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|общий||ГК РФ|210|||2|4|gemini;grok
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|общий||ГК РФ|1102|||1|4|gpt
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|общий||ГК РФ|307|||1|4|grok
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|общий||ГК РФ|309|||1|4|grok
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|специальный||ГК РФ|123.14|||1|4|claude
1795|ea85b661-ca56-49a8-b5e8-d055e8e1972d|специальный||ГК РФ|259.4|||1|4|gemini
