example_id|uid|norm_type|norm_number|act|article|art_punkt|date|occurrence_count|total_files|models
328|19fa7550-93c6-414b-b1e2-57e444666963|общий||ГК РФ|1113|||1|3|qwen
328|19fa7550-93c6-414b-b1e2-57e444666963|общий||ГК РФ|1115|||1|3|qwen
328|19fa7550-93c6-414b-b1e2-57e444666963|общий||ГК РФ|1154|||1|3|qwen
328|19fa7550-93c6-414b-b1e2-57e444666963|общий||ГК РФ|1172|||1|3|qwen
328|19fa7550-93c6-414b-b1e2-57e444666963|специальный|4462-1|Основы законодательства Российской Федерации о нотариате|64||11.02.1993|1|3|qwen
328|19fa7550-93c6-414b-b1e2-57e444666963|специальный|4462-1|Основы законодательства Российской Федерации о нотариате|15||11.02.1993|1|3|qwen
328|19fa7550-93c6-414b-b1e2-57e444666963|специальный|39-ФЗ|ФЗ|29||22.04.1996|1|3|qwen
328|19fa7550-93c6-414b-b1e2-57e444666963|общий||ГК РФ|307|||1|3|gpt
328|19fa7550-93c6-414b-b1e2-57e444666963|общий||ГК РФ|309|||1|3|gpt
328|19fa7550-93c6-414b-b1e2-57e444666963|специальный||ГК РФ|422|||1|3|gpt
328|19fa7550-93c6-414b-b1e2-57e444666963|общий||ГК РФ|1112|||1|3|gemini
328|19fa7550-93c6-414b-b1e2-57e444666963|специальный|4462-1|Основы законодательства Российской Федерации о нотариате|61||11.02.1993|1|3|gemini
328|19fa7550-93c6-414b-b1e2-57e444666963|специальный|39-ФЗ|ФЗ|8||22.04.1996|1|3|gemini
328|19fa7550-93c6-414b-b1e2-57e444666963|специальный|208-ФЗ|ФЗ|44||26.12.1995|1|3|gemini
