example_id|uid|norm_type|norm_number|act|article|art_punkt|date|occurrence_count|total_files|models
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|общий||ЖК РФ|30|||3|4|claude;gpt;grok
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|специальный|5242-1|Закон РФ|3||25.06.1993|3|4|claude;gpt;grok
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|общий|152-ФЗ|ФЗ|7||27.07.2006|2|4|claude;gpt
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|общий||ГК РФ|209|||1|4|gpt
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|специальный|713|ПП РФ||31|17.07.1995|1|4|gpt
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|специальный|713|ПП РФ||28|17.07.1995|1|4|gpt
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|специальный||ГК РФ|292|||1|4|grok
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|специальный|5242-1|Закон РФ|7||25.06.1993|1|4|grok
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|общий|152-ФЗ|ФЗ|6||27.07.2006|1|4|grok
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|общий||Конституция РФ|24|||1|4|claude
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|специальный|713|ПП РФ|16||17.07.1995|1|4|claude
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|специальный||ТК РФ|192|||1|4|gemini
1799|c41dc27f-cd10-4208-bc17-e9cecf10b082|специальный||ТК РФ|193|||1|4|gemini
